cabin_class,seat,airline_code,airline,flight_number,aircraft,aircraft_type,dep_airport,dep_airport_name,arr_airport,arr_airport_name,month,year,time_in_air,dep_country,arr_country,aircraft_family,airline_family
Economy,21F,DY,Norwegian Air Shuttle,1102,73H,Boeing 737-800 (winglets),OSL,Oslo Gardermoen Airport,BER,Berlin Brandenburg Airport,9,2024,1:35:00,Norway,Germany,Boeing 737,Other
Economy,22A,DY,Norwegian Air Shuttle,385,73H,Boeing 737-800 (winglets),TOS,Tromso Airport,OSL,Oslo Gardermoen Airport,9,2024,1:55:00,Norway,Norway,Boeing 737,Other
Economy,25A,DY,Norwegian Air Shuttle,374,73H,Boeing 737-800 (winglets),OSL,Oslo Gardermoen Airport,TOS,Tromso Airport,9,2024,1:55:00,Norway,Norway,Boeing 737,Other
Economy,23C,DY,Norwegian Air Shuttle,1103,73H,Boeing 737-800 (winglets),BER,Berlin Brandenburg Airport,OSL,Oslo Gardermoen Airport,9,2024,1:40:00,Germany,Norway,Boeing 737,Other
Economy,None,LH,Lufthansa,210,319,Airbus A319,FRA,Frankfurt Airport,DRS,Dresden Airport,9,2024,1:00:00,Germany,Germany,Airbus A319,Star Alliance
Economy,None,LH,Lufthansa,755,74H,Boeing 747-8,BLR,Kempegowda International Airport  Bengaluru,FRA,Frankfurt Airport,9,2024,9:30:00,India,Germany,Boeing 747,Star Alliance
Economy,None,LH,Lufthansa,754,74H,Boeing 747-8,FRA,Frankfurt Airport,BLR,Kempegowda International Airport  Bengaluru,8,2024,8:50:00,Germany,India,Boeing 747,Star Alliance
Economy,None,LH,Lufthansa,207,319,Airbus A319,DRS,Dresden Airport,FRA,Frankfurt Airport,8,2024,1:05:00,Germany,Germany,Airbus A319,Star Alliance
Economy,16C,EW,Eurowings,2967,319,Airbus A319,ZAD,Zadar Airport,STR,Stuttgart Airport,5,2024,1:20:00,Croatia,Germany,Airbus A319,Other
Economy,None,FR,Ryanair,5196,738,Boeing 737-800,FKB,Karlsruhe/Baden Baden Airport,ZAD,Zadar Airport,5,2024,1:30:00,Germany,Croatia,Boeing 737,Other
Economy,None,LH,Lufthansa,216,32A,Airbus A320 (Sharklets),FRA,Frankfurt Airport,DRS,Dresden Airport,4,2024,1:00:00,Germany,Germany,Airbus A320,Star Alliance
Economy,None,LH,Lufthansa,1145,32B,Airbus A321neo LR,BIO,Bilbao Airport,FRA,Frankfurt Airport,4,2024,2:10:00,Spain,Germany,Airbus A321,Star Alliance
Economy,22C,UX,Air Europa,7161,73H,Boeing 737-800 (winglets),MAD,Adolfo Suarez Madrid Barajas Airport,BIO,Bilbao Airport,3,2024,1:00:00,Spain,Spain,Boeing 737,SkyTeam
