"weight";"word";"color";"url"
"50";"Transportation";"";"https://www.lorem.com"
"40";"Optimization";"";""
"40";"Urban Freight";"";"https://www.ipsum.com"
"35";"Python";"";""
"35";"Sustainable";"";""
"30";"City Logistics";"";""
"30";"Metaheuristics";"";""
"25";"Combinatorial optimization";"";""
"25";"Crowd shipping";"";""
"25";"Last Mile";"";""
"25";"Mathematical Programming";"";""
"20";"Bike sharing";"";""
"20";"CPLEX";"";""
"20";"Dynamic and Stochastic Routing";"";""
"20";"Electric Vehicles";"";""
"20";"GIS";"";""
"20";"GPS";"";""
"20";"Gurobi";"";""
"20";"Life cycle assessment";"";""
"20";"MaaS";"";""
"20";"Mobility as a service";"";""
"20";"R";"";""
"18";"Adaptive Large Neighborhood Search";"";""
"18";"Autonomous vehicles";"";""
"18";"Driving Cycle";"";""
"18";"Drone Delivery";"";""
"18";"Dynamic programming";"";""
"18";"Emissions";"";""
"18";"GAMS";"";""
"18";"MILP";"";""
"18";"Networks";"";""
"18";"Rolling horizon";"";""
"18";"Urban Mobility Analytics";"";""
"15";"Accessibility";"";""
"15";"Adaptive dynamic programming";"";""
"15";"AI/ML";"";""
"15";"ALNS";"";""
"15";"BERT";"";""
"15";"Big data";"";""
"15";"CMEM";"";""
"15";"Column generation";"";""
"15";"Computer vision";"";""
"15";"Constraint Programming";"";""
"15";"Dail a Ride Problem";"";""
"15";"Demand modelling";"";"https://www.erat.com"
"15";"Github";"";""
"15";"Graph Neural Networks";"";""
"15";"GTFS";"";""
"15";"Intelligent Transportation Systems";"";""
"15";"Inventory modelling";"";""
"15";"Minimum Spanning Tree";"";""
"15";"Multi Echelon distribution";"";""
"15";"Piecewise linearization";"";""
"15";"Planning";"";""
"15";"Prediction";"";""
"15";"Public Transport";"";""
"15";"Reinforcement Learning";"";""
"15";"RL";"";""
"15";"SAA";"";""
"15";"Sample Average Approximation";"";""
"15";"Scheduling";"";""
"15";"Semantic segmentation";"";""
"15";"Sentiment Analysis";"";""
"15";"Shortest path algorithms";"";""
"15";"Supply chain";"";""
"15";"Topic modelling";"";""
"15";"Traffic Assignment";"";""
"15";"Traffic Congestion";"";""
"15";"Transformers";"";""
"15";"Travel time";"";""
"15";"Trip distribution";"";"https://www.dolor.com"
"15";"Trip production";"";""
"15";"Twitter";"";""
"12";"CNN";"";""
"12";"Data Fusion";"";""
"12";"DTA";"";""
"12";"Investment analysis";"";""
"12";"Java";"";""
"12";"PFA";"";""
"12";"RNN";"";""
"12";"SA";"";""
"12";"VFA";"";""
"10";"Simulated Annealing";"";""
